,0,1,2
1 0 1 2 2 1 3 1 2,0.7985841520282795,5.807629367956059e-12,0.20141584796591291
1 0 1 2 2 1 3 2 2,0.9809576977970232,0.01904230220297679,0.0
1 0 1 2 2 1 4,0.0,7.144056023256423e-10,0.9999999992855944
1 0 1 2 2 1 4 1 2,0.008129316660442263,0.008129316660442263,0.9837413666791155
1 0 1 2 2 1 4 2 2,0.9999999999912885,8.711444054172207e-12,0.0
1 0 1 2 2 1 5,0.0,7.144056023256423e-10,0.9999999992855944
1 0 1 2 2 1 5 1 2,0.008129316660442263,0.008129316660442263,0.9837413666791155
1 0 1 2 2 1 5 2 2,0.9999999999912885,8.711444054172207e-12,0.0
1 0 2 1 2,0.0,2.0474935459834945e-09,0.9999999979525065
1 0 2 1 2 1 2,0.9069424403612926,0.00200016155203062,0.09105739808667679
1 0 2 1 2 2 2,0.999999999993857,6.142976815638234e-12,0.0
1 0 2 1 3,0.0,2.0474935459834945e-09,0.9999999979525065
1 0 2 1 3 1 2,0.9069424403612926,0.00200016155203062,0.09105739808667679
1 0 2 1 3 2 2,0.999999999993857,6.142976815638234e-12,0.0
1 0 2 1 4,0.0,1.1210063112692753e-09,0.9999999988789937
1 0 2 1 4 1 2,0.21517580649354182,0.006267493488921812,0.7785567000175363
1 0 2 1 4 2 2,0.9999999999931277,6.872194893895557e-12,0.0
1 0 2 1 5,0.0,1.1210063112692753e-09,0.9999999988789937
1 0 2 1 5 1 2,0.21517580649354182,0.006267493488921812,0.7785567000175363
1 0 2 1 5 2 2,0.9999999999931277,6.872194893895557e-12,0.0
1 0 2 2,2.6974677399680055e-10,0.9999999997302533,0.0
1 0 2 2 1 2,0.0,0.8768310508096969,0.12316894919030305
1 0 2 2 1 2 1 2,0.999999999616341,4.1843701361917645e-12,3.7947466403679e-10
1 0 2 2 1 2 2 2,0.9999999999750628,2.4937197423132478e-11,0.0
1 0 2 2 1 3,0.0,0.8768310508096969,0.12316894919030305
1 0 2 2 1 3 1 2,0.999999999616341,4.1843701361917645e-12,3.7947466403679e-10
1 0 2 2 1 3 2 2,0.9999999999750628,2.4937197423132478e-11,0.0
1 0 2 2 1 4,0.0,0.43937833820033456,0.5606216617996655
1 0 2 2 1 4 1 2,2.1021111612236297e-08,5.0342868103700165e-12,0.999999978973854
1 0 2 2 1 4 2 2,0.9999999999945213,5.478718736088142e-12,0.0
1 0 2 2 1 5,0.0,0.43937833820033456,0.5606216617996655
1 0 2 2 1 5 1 2,2.1021111612236297e-08,5.0342868103700165e-12,0.999999978973854
1 0 2 2 1 5 2 2,0.9999999999945213,5.478718736088142e-12,0.0
1 2 1 1 0,0.0,0.9078385902507394,0.09216140974926057
